ID.ADDRESSID,DELTATOKEN,IS_DELETED
1000000001,2012-10-03,N
1000000002,2012-10-03,N
1000000003,2012-10-03,N
1000000004,2012-10-03,N
1000000005,2012-10-03,N
1000000006,2012-10-03,N
1000000007,2012-10-03,N
1000000008,2012-10-03,N
1000000009,2012-10-03,N
1000000010,2012-10-03,N
1000000011,2012-10-03,N
1000000012,2012-10-03,N
1000000013,2012-10-03,N
1000000014,2012-10-03,N
1000000015,2012-10-03,N
1000000016,2012-10-03,N
1000000017,2012-10-03,N
1000000018,2012-10-03,N
1000000019,2012-10-03,N
1000000020,2012-10-03,N
1000000021,2012-10-03,N
1000000022,2012-10-03,N
1000000023,2012-10-03,N
1000000024,2012-10-03,N
1000000025,2012-10-03,N
1000000026,2012-10-03,N
1000000027,2012-10-03,N
1000000028,2012-10-03,N
1000000029,2012-10-03,N
1000000030,2012-10-03,N
1000000031,2012-10-03,N
1000000032,2012-10-03,N
1000000033,2012-10-03,N
1000000034,2012-10-03,N
1000000035,2012-10-03,N
1000000036,2012-10-03,N
1000000037,2012-10-03,N
1000000038,2012-10-03,N
1000000039,2012-10-03,N
1000000040,2012-10-03,N
1000000041,2012-10-03,N
1000000042,2012-10-03,N
1000000043,2012-10-03,N
1000000044,2012-10-03,N
1000000045,2012-10-03,N
1000000046,2012-10-03,N
1000000047,2012-10-03,N
1000000048,2012-10-03,N
1000000049,2012-10-03,N
1000000050,2012-10-03,N
1000000051,2012-10-03,N
1000000052,2012-10-03,N
1000000053,2012-10-03,N
1000000054,2012-10-03,N
1000000055,2012-10-03,N
1000000056,2012-10-03,N
1000000057,2012-10-03,N
1000000058,2012-10-03,N
1000000059,2012-10-03,N
1000000060,2012-10-03,N
1000000061,2012-10-03,N
1000000062,2012-10-03,N
1000000063,2012-10-03,N
1000000064,2012-10-03,N
1000000065,2012-10-03,N
1000000066,2012-10-03,N
1000000067,2012-10-03,N
1000000068,2012-10-03,N
1000000069,2012-10-03,N
1000000070,2012-10-03,N
1000000071,2012-10-03,N
1000000072,2012-10-03,N
1000000073,2012-10-03,N
1000000074,2012-10-03,N
1000000075,2012-10-03,N
1000000076,2012-10-03,N
1000000077,2012-10-03,N
1000000078,2012-10-03,N
