ID.PARTNERID,DELTATOKEN,IS_DELETED
0100000001,2012-10-03,N
0100000002,2012-10-03,N
0100000003,2012-10-03,N
0100000004,2012-10-03,N
0100000005,2012-10-03,N
0100000006,2012-10-03,N
0100000007,2012-10-03,N
0100000008,2012-10-03,N
0100000009,2012-10-03,N
0100000010,2012-10-03,N
0100000011,2012-10-03,N
0100000012,2012-10-03,N
0100000013,2012-10-03,N
0100000014,2012-10-03,N
0100000015,2012-10-03,N
0100000016,2012-10-03,N
0100000017,2012-10-03,N
0100000018,2012-10-03,N
0100000019,2012-10-03,N
0100000020,2012-10-03,N
0100000021,2012-10-03,N
0100000022,2012-10-03,N
0100000023,2012-10-03,N
0100000024,2012-10-03,N
0100000025,2012-10-03,N
0100000026,2012-10-03,N
0100000027,2012-10-03,N
0100000028,2012-10-03,N
0100000029,2012-10-03,N
0100000030,2012-10-03,N
0100000031,2012-10-03,N
0100000032,2012-10-03,N
0100000033,2012-10-03,N
0100000034,2012-10-03,N
0100000035,2012-10-03,N
0100000036,2012-10-03,N
0100000037,2012-10-03,N
0100000038,2012-10-03,N
0100000039,2012-10-03,N
0100000040,2012-10-03,N
0100000041,2012-10-03,N
0100000042,2012-10-03,N
0100000043,2012-10-03,N
0100000044,2012-10-03,N
0100000000,2012-10-03,N
0100000099,2015-10-03,Y
0100000095,2015-10-03,Y
0100000094,2015-10-03,Y
0123456789,2015-10-03,Y
0123456787,2015-10-03,Y
