ID.SALESORDERID,DELTATOKEN,IS_DELETED
0500000000,2012-10-03,N
0500000001,2012-10-03,N
0500000002,2012-10-03,N
0500000003,2012-10-03,N
0500000004,2012-10-03,N
0500000005,2012-10-03,N
0500000006,2012-10-03,N
0500000007,2012-10-03,N
0500000008,2012-10-03,N
0500000009,2012-10-03,N
0500000010,2012-10-03,N
0500000011,2012-10-03,N
0500000012,2012-10-03,N
0500000013,2012-10-03,N
0500000014,2012-10-03,N
0500000015,2012-10-03,N
0500000016,2012-10-03,N
0500000017,2012-10-03,N
0500000018,2012-10-03,N
0500000019,2012-10-03,N
0500000020,2012-10-03,N
0500000021,2012-10-03,N
0500000022,2012-10-03,N
0500000023,2012-10-03,N
0500000024,2012-10-03,N
0500000025,2012-10-03,N
0500000026,2012-10-03,N
0500000027,2012-10-03,N
0500000028,2012-10-03,N
0500000029,2012-10-03,N
0500000030,2012-10-03,N
0500000031,2012-10-03,N
0500000032,2012-10-03,N
0500000033,2012-10-03,N
0500000034,2012-10-03,N
0500000035,2012-10-03,N
0500000036,2012-10-03,N
0500000037,2012-10-03,N
0500000038,2012-10-03,N
0500000039,2012-10-03,N
0500000040,2012-10-03,N
0500000041,2012-10-03,N
0500000042,2012-10-03,N
0500000043,2012-10-03,N
0500000044,2012-10-03,N
0500000045,2012-10-03,N
0500000046,2012-10-03,N
0500000047,2012-10-03,N
0500000048,2012-10-03,N
0500000049,2012-10-03,N
0500000050,2012-10-03,N
0500000051,2012-10-03,N
0500000052,2012-10-03,N
0500000053,2012-10-03,N
0500000054,2012-10-03,N
0500000055,2012-10-03,N
0500000056,2012-10-03,N
0500000057,2012-10-03,N
0500000058,2012-10-03,N
0500000059,2012-10-03,N
0500000060,2012-10-03,N
0500000061,2012-10-03,N
0500000062,2012-10-03,N
0500000063,2012-10-03,N
0500000064,2012-10-03,N
0500000065,2012-10-03,N
0500000066,2012-10-03,N
0500000067,2012-10-03,N
0500000068,2012-10-03,N
0500000069,2012-10-03,N
0500000070,2012-10-03,N
0500000071,2012-10-03,N
0500000072,2012-10-03,N
0500000073,2012-10-03,N
0500000074,2012-10-03,N
0500000075,2012-10-03,N
0500000076,2012-10-03,N
0500000077,2012-10-03,N
0500000078,2012-10-03,N
0500000079,2012-10-03,N
0500000080,2012-10-03,N
0500000081,2012-10-03,N
0500000082,2012-10-03,N
0500000083,2012-10-03,N
0500000084,2012-10-03,N
0500000085,2012-10-03,N
0500000086,2012-10-03,N
0500000087,2012-10-03,N
0500000088,2012-10-03,N
0500000089,2012-10-03,N
0500000090,2012-10-03,N
0500000091,2012-10-03,N
0500000092,2012-10-03,N
0500000093,2012-10-03,N
0500000094,2012-10-03,N
0500000095,2012-10-03,N
0500000096,2012-10-03,N
0500000097,2012-10-03,N
0500000098,2012-10-03,N
0500000099,2012-10-03,N
0500000100,2012-10-03,N
0500000101,2012-10-03,N
0500000102,2012-10-03,N
0500000103,2012-10-03,N
0500000104,2012-10-03,N
0500000105,2012-10-03,N
0500000106,2012-10-03,N
0500000107,2012-10-03,N
0500000108,2012-10-03,N
0500000109,2012-10-03,N
0500000110,2012-10-03,N
0500000111,2012-10-03,N
0500000112,2012-10-03,N
0500000113,2012-10-03,N
0500000114,2012-10-03,N
0500000115,2012-10-03,N
0500000116,2012-10-03,N
0500000117,2012-10-03,N
0500000118,2012-10-03,N
0500000119,2012-10-03,N
0500000120,2012-10-03,N
0500000121,2012-10-03,N
0500000122,2012-10-03,N
0500000123,2012-10-03,N
0500000124,2012-10-03,N
0500000125,2012-10-03,N
0500000126,2012-10-03,N
0500000127,2012-10-03,N
0500000128,2012-10-03,N
0500000129,2012-10-03,N
0500000130,2012-10-03,N
0500000131,2012-10-03,N
0500000132,2012-10-03,N
0500000133,2012-10-03,N
0500000134,2012-10-03,N
0500000135,2012-10-03,N
0500000136,2012-10-03,N
0500000137,2012-10-03,N
0500000138,2012-10-03,N
0500000139,2012-10-03,N
0500000140,2012-10-03,N
0500000141,2012-10-03,N
0500000142,2012-10-03,N
0500000143,2012-10-03,N
0500000144,2012-10-03,N
0500000145,2012-10-03,N
0500000146,2012-10-03,N
0500000147,2012-10-03,N
0500000148,2012-10-03,N
0500000149,2012-10-03,N
0500000150,2012-10-03,N
0500000151,2012-10-03,N
0500000152,2012-10-03,N
0500000153,2012-10-03,N
0500000154,2012-10-03,N
0500000155,2012-10-03,N
0500000156,2012-10-03,N
0500000157,2012-10-03,N
0500000158,2012-10-03,N
0500000159,2012-10-03,N
0500000160,2012-10-03,N
0500000161,2012-10-03,N
0500000162,2012-10-03,N
0500000163,2012-10-03,N
0500000164,2012-10-03,N
0500000165,2012-10-03,N
0500000166,2012-10-03,N
0500000167,2012-10-03,N
0500000168,2012-10-03,N
0500000169,2012-10-03,N
0500000170,2012-10-03,N
0500000171,2012-10-03,N
0500000172,2012-10-03,N
0500000173,2012-10-03,N
0500000174,2012-10-03,N
0500000175,2012-10-03,N
0500000176,2012-10-03,N
0500000177,2012-10-03,N
0500000178,2012-10-03,N
0500000179,2012-10-03,N
0500000180,2012-10-03,N
0500000181,2012-10-03,N
0500000182,2012-10-03,N
0500000183,2012-10-03,N
0500000184,2012-10-03,N
0500000185,2012-10-03,N
0500000186,2012-10-03,N
0500000187,2012-10-03,N
0500000188,2012-10-03,N
0500000189,2012-10-03,N
0500000190,2012-10-03,N
0500000191,2012-10-03,N
0500000192,2012-10-03,N
0500000193,2012-10-03,N
0500000194,2012-10-03,N
0500000195,2012-10-03,N
0500000196,2012-10-03,N
0500000197,2012-10-03,N
0500000198,2012-10-03,N
0500000199,2012-10-03,N
0500000200,2012-10-03,N
0500000201,2012-10-03,N
0500000202,2012-10-03,N
0500000203,2012-10-03,N
0500000204,2012-10-03,N
0500000205,2012-10-03,N
0500000206,2012-10-03,N
0500000207,2012-10-03,N
0500000208,2012-10-03,N
0500000209,2012-10-03,N
0500000210,2012-10-03,N
0500000211,2012-10-03,N
0500000212,2012-10-03,N
0500000213,2012-10-03,N
0500000214,2012-10-03,N
0500000215,2012-10-03,N
0500000216,2012-10-03,N
0500000217,2012-10-03,N
0500000218,2012-10-03,N
0500000219,2012-10-03,N
0500000220,2012-10-03,N
0500000221,2012-10-03,N
0500000222,2012-10-03,N
0500000223,2012-10-03,N
0500000224,2012-10-03,N
0500000225,2012-10-03,N
0500000226,2012-10-03,N
0500000227,2012-10-03,N
0500000228,2012-10-03,N
0500000229,2012-10-03,N
0500000230,2012-10-03,N
0500000231,2012-10-03,N
0500000232,2012-10-03,N
0500000233,2012-10-03,N
0500000234,2012-10-03,N
0500000235,2012-10-03,N
0500000236,2012-10-03,N
0500000237,2012-10-03,N
0500000238,2012-10-03,N
0500000239,2012-10-03,N
0500000240,2012-10-03,N
0500000241,2012-10-03,N
0500000242,2012-10-03,N
0500000243,2012-10-03,N
0500000244,2012-10-03,N
0500000245,2012-10-03,N
0500000246,2012-10-03,N
0500000247,2012-10-03,N
0500000248,2012-10-03,N
0500000249,2012-10-03,N
0500000250,2012-10-03,N
0500000251,2012-10-03,N
0500000252,2012-10-03,N
0500000253,2012-10-03,N
0500000254,2012-10-03,N
0500000255,2012-10-03,N
0500000256,2012-10-03,N
0500000257,2012-10-03,N
0500000258,2012-10-03,N
0500000259,2012-10-03,N
0500000260,2012-10-03,N
0500000261,2012-10-03,N
0500000262,2012-10-03,N
0500000263,2012-10-03,N
0500000264,2012-10-03,N
0500000265,2012-10-03,N
0500000266,2012-10-03,N
0500000267,2012-10-03,N
0500000268,2012-10-03,N
0500000269,2012-10-03,N
0500000270,2012-10-03,N
0500000271,2012-10-03,N
0500000272,2012-10-03,N
0500000273,2012-10-03,N
0500000274,2012-10-03,N
0500000275,2012-10-03,N
0500000276,2012-10-03,N
0500000277,2012-10-03,N
0500000278,2012-10-03,N
0500000279,2012-10-03,N
0500000280,2012-10-03,N
